"subject","response","rt","Congruency","mbased_reward_prev","mbased_efficacy_prev","scaledRunningTime"
2,1,1.13755055400543,"congruent",-0.522691937843976,0.179697074463348,-0.994499978920891
2,1,0.364251302002231,"congruent",-0.522691937843976,0.179697074463348,0.143050575084539
2,1,0.499729160001152,"congruent",-0.522691937843976,0.179697074463348,0.75730187708677
2,1,0.877846686998964,"congruent",-0.522692176037415,0.125473177263348,-0.994499978920891
2,1,0.852685348989326,"incongruent",-0.522692176037415,0.125473177263348,-0.116653291921928
2,1,0.874817339994479,"incongruent",-0.522692365617955,0.0755199542068202,-0.994499978920891
2,1,0.710995228000684,"incongruent",-0.522692365617955,0.0755199542068202,-0.119682638926413
2,1,0.606170760001987,"incongruent",-0.522692365617955,0.0755199542068202,0.841312589074272
2,1,0.975678721006261,"incongruent",-0.522692516507003,0.0295010469982244,-0.159269266913276
2,1,0.503111760001048,"congruent",-0.522692516507003,0.0295010469982244,1.06640945409298
2,1,0.574212474995875,"incongruent",-0.522692516507003,0.0295010469982244,1.81952121409403
2,1,0.804978460000711,"congruent",-0.522692636601104,0.0656154099624365,-0.994499978920891
2,1,0.526048496001749,"congruent",-0.522692636601104,0.0656154099624365,-0.18952151892018
2,1,0.474397099009366,"incongruent",-0.522692636601104,0.0656154099624365,0.586526977081568
2,1,0.539896816990222,"congruent",-0.522692636601104,0.0656154099624365,1.31092407609093
2,1,1.05490262899548,"incongruent",-0.522692732185201,0.0989050519130399,-0.994499978920891
2,1,0.689242923996062,"congruent",-0.522692732185201,0.0989050519130399,0.0604026500745884
2,1,0.411788621000596,"incongruent",-0.522692732185201,0.0989050519130399,0.99964557407065
2,1,0.638049974004389,"congruent",-0.522692732185201,0.0989050519130399,1.66143419507125
2,1,0.817767530010315,"incongruent",-0.522692808261539,0.129590911228835,-0.994499978920891
2,1,0.707123039013823,"congruent",-0.522692808261539,0.129590911228835,-0.176732448910576
2,1,0.391731278999941,"congruent",-0.522692808261539,0.129590911228835,0.780390590103247
2,1,0.504503019008553,"incongruent",-0.522692808261539,0.129590911228835,1.42212186910319
2,1,0.440142435007147,"incongruent",-0.522692808261539,0.129590911228835,2.17662488811174
2,1,1.01728225799161,"incongruent",-0.522692868811458,0.157876645372386,-0.994499978920891
2,1,0.501578365001478,"incongruent",-0.522692868811458,0.157876645372386,0.0227822790707186
2,1,0.529148717992939,"incongruent",-0.522692868811458,0.157876645372386,0.774360644072197
2,1,0.359040288996766,"congruent",-0.522692917003744,0.10537132516759,-0.175764331920169
2,1,0.719617655006004,"incongruent",-0.522692955360466,0.135551418454507,-0.994499978920891
2,1,0.635012361992267,"congruent",-0.522692955360466,0.135551418454507,-0.274882323914887
2,1,0.467328694998287,"incongruent",-0.522692955360466,0.135551418454507,0.61013003807738
2,1,0.619019044999732,"incongruent",-0.522692955360466,0.135551418454507,1.32745873307567
2,1,0.882651944004465,"incongruent",-0.522692985888964,0.0848044331217631,-0.994499978920891
2,1,0.690091016003862,"congruent",-0.522692985888964,0.0848044331217631,-0.111848034916426
2,1,0.523509345992352,"incongruent",-0.522692985888964,0.0848044331217631,0.828242981087435
2,1,0.619837366000866,"congruent",-0.522693010186902,0.0380542803538264,-0.994499978920891
2,1,0.622351382000488,"congruent",-0.522693010186902,0.0380542803538264,-0.374662612920025
2,1,0.867524060013238,"congruent",-0.522693029525873,0.0734996436178967,-0.994499978920891
2,1,0.570793355989736,"congruent",-0.522693029525873,0.0734996436178967,-0.126975918907653
2,1,0.867607399995904,"incongruent",-0.522693044917954,0.106172612348905,-0.994499978920891
2,1,0.488839847006602,"incongruent",-0.522693044917954,0.106172612348905,-0.126892578924988
2,1,0.603950403994531,"congruent",-0.522693044917954,0.106172612348905,0.611947268081614
2,1,0.729835336009273,"incongruent",-0.522693057168664,0.136290032157648,-0.994499978920891
2,1,0.435554434996448,"incongruent",-0.522693057168664,0.136290032157648,-0.264664642911619
2,-1,0.544266480996157,"incongruent",-0.522693057168664,0.136290032157648,0.420889792084829
2,1,0.873651069996413,"congruent",-0.522693066919128,0.0854848736096449,-0.994499978920891
2,1,0.741337913001189,"incongruent",-0.522693066919128,0.0854848736096449,-0.120848908924479
2,1,0.638907302010921,"congruent",-0.522693074679619,0.117220405591618,-0.102480469932295
2,1,0.556962172006024,"incongruent",-0.522693074679619,0.117220405591618,0.786426832078626
2,1,0.571690106997266,"incongruent",-0.522693074679619,0.117220405591618,1.59338900408465
2,1,0.872437799000181,"incongruent",-0.522693080856272,0.0679171708319556,-0.994499978920891
2,1,0.527451015004772,"congruent",-0.522693080856272,0.0679171708319556,-0.12206217992071
2,1,1.03299080400029,"incongruent",-0.522693080856272,0.0679171708319556,0.655388835084062
2,1,1.01783457800047,"incongruent",-0.285843086561444,0.101026778254389,-0.994499978920891
2,1,0.673233930996503,"incongruent",-0.285843086561444,0.101026778254389,0.0233345990795786
2,1,0.577963842006284,"incongruent",-0.285843086561444,0.101026778254389,0.946568530076082
2,1,0.940397953003412,"incongruent",-0.334181806813135,0.131546684622668,-0.994499978920891
2,1,0.361780218998319,"incongruent",-0.334181806813135,0.131546684622668,-0.0541020259174795
2,1,0.853309696001816,"congruent",-0.372655077648658,0.159679445994447,-0.994499978920891
2,1,0.681127727002604,"congruent",-0.372655077648658,0.159679445994447,-0.141190282919075
2,1,0.540905615998781,"incongruent",-0.372655077648658,0.159679445994447,0.789937444083529
2,1,0.531514565998805,"incongruent",-0.372655077648658,0.159679445994447,1.58084306008231
2,1,0.94076405299711,"congruent",-0.171341584413554,0.185611775302771,-0.994499978920891
2,1,0.402445850006188,"congruent",-0.171341584413554,0.185611775302771,-0.0537359259237815
2,1,0.576019232001272,"incongruent",-0.171341584413554,0.185611775302771,0.598709924082407
2,1,0.597128242006875,"incongruent",-0.243048916238608,0.209515781541914,-0.994499978920891
2,1,0.634576167998603,"incongruent",-0.243048916238608,0.209515781541914,-0.397371736914017
2,1,1.14298324100673,"congruent",-0.243048916238608,0.209515781541914,0.487204431084586
2,1,0.99126828100998,"incongruent",-0.300121498711487,0.231550112029057,-0.994499978920891
2,1,0.730697817009059,"incongruent",-0.300121498711487,0.231550112029057,-0.00323169791091149
2,1,0.408648351993179,"congruent",-0.300121498711487,0.231550112029057,0.977466119098148
2,1,0.526163938004174,"incongruent",-0.300121498711487,0.231550112029057,1.63611447109133
2,1,0.549268561997451,"congruent",-0.115987583647652,0.251861005322818,-0.994499978920891
2,1,0.719485378998797,"incongruent",-0.115987583647652,0.251861005322818,0.83544681006742
2,1,0.645641930997954,"congruent",-0.115987583647652,0.251861005322818,1.80493218906622
2,1,0.866151142996387,"incongruent",0.0245342136333139,0.270583261786713,-0.994499978920891
2,1,0.477242027991451,"incongruent",0.0245342136333139,0.270583261786713,-0.128348835924505
2,1,0.954709099998581,"incongruent",-0.0871494098151252,0.287841138239029,-0.994499978920891
2,1,0.542633974997443,"congruent",-0.0871494098151252,0.287841138239029,-0.0397908789223105
2,-1,0.669968602000154,"incongruent",-0.0871494098151252,0.287841138239029,0.752843096075132
2,1,0.606655429000966,"congruent",-0.0871494098151252,0.287841138239029,1.67281169807529
2,1,0.841728558996692,"congruent",0.0465420659936066,0.225099814576057,-0.994499978920891
2,1,0.735833393002395,"incongruent",0.0465420659936066,0.225099814576057,-0.1527714199242
2,1,0.513134064007318,"congruent",0.0465420659936066,0.225099814576057,0.833061973078195
2,1,0.614386762012145,"congruent",0.14856871575704,0.245915224335401,-0.994499978920891
2,1,0.41047253900615,"incongruent",0.14856871575704,0.245915224335401,-0.380113216908746
2,1,0.951607383991359,"incongruent",0.14856871575704,0.245915224335401,0.280359322097403
2,1,0.53059214600944,"incongruent",0.14856871575704,0.245915224335401,1.48196670608876
2,1,0.731257503997767,"incongruent",0.226430353524004,0.265102536005008,-0.994499978920891
2,1,0.698430817006738,"incongruent",0.226430353524004,0.265102536005008,-0.263242474923124
2,1,0.510656383994501,"incongruent",0.226430353524004,0.265102536005008,0.685188342083614
2,1,0.915182166005252,"incongruent",0.0735417468852743,0.204152104653987,-0.994499978920891
2,1,0.528902177000418,"congruent",0.0735417468852743,0.204152104653987,-0.0793178129156394
2,1,0.432055604003835,"congruent",0.0735417468852743,0.204152104653987,0.699584364084779
2,1,0.639358143991558,"incongruent",0.0735417468852743,0.204152104653987,1.38163996808861
